extension,x,y,type,mag_v,err_v,snr_v,sharp_v,round_v,crowd_v,flag_v,mag_i,err_i,snr_i,sharp_i,round_i,crowd_i,flag_i
1,2389.26,1664.96,1,24.548,0.016,65.8,0.018,0.057,0.068,0,23.036,0.014,77.9,0.03,-0.005,0.037,0
1,2360.62,1402.22,1,24.33,0.014,75.1,0.037,0.078,0.021,0,23.141,0.014,76.1,0.028,-0.005,0.012,0
1,836.08,1486.85,1,24.382,0.015,74.4,0.012,0.058,0.0,0,23.116,0.014,76.9,0.035,0.009,0.0,0
1,1214.69,2021.72,1,24.418,0.021,51.9,-0.001,0.011,0.002,0,23.08,0.02,54.3,0.07,0.617,0.024,0
1,2521.72,2034.69,1,25.812,0.043,25.5,0.037,0.079,0.018,0,22.729,0.016,66.5,-0.036,0.009,0.009,0
1,1590.67,1301.92,1,24.465,0.015,72.6,0.011,0.044,0.001,0,23.097,0.014,78.9,0.014,0.038,0.002,0
1,1488.18,476.15,1,24.522,0.015,72.3,-0.014,0.036,0.0,0,23.122,0.014,79.6,-0.007,0.082,0.0,0
1,2175.34,1448.1,1,24.445,0.015,72.3,0.016,0.006,0.002,0,23.113,0.014,77.6,-0.003,0.037,0.001,0
1,1457.87,1718.8,1,24.448,0.015,71.5,-0.014,0.027,0.019,0,23.131,0.014,75.3,-0.006,0.018,0.029,0
1,2400.65,1463.28,1,24.493,0.016,69.7,0.032,0.07,0.001,0,23.131,0.014,75.8,0.009,-0.005,0.001,0
1,1996.21,2021.56,1,24.552,0.022,48.5,-0.013,0.036,0.002,0,23.104,0.02,53.8,0.026,0.035,0.004,0
1,1650.21,1161.53,1,24.503,0.015,70.1,0.005,0.01,0.0,0,23.189,0.015,74.2,0.025,-0.001,0.0,0
1,1416.69,568.86,1,24.539,0.015,71.2,-0.034,0.079,0.0,0,23.233,0.015,74.8,-0.001,0.039,0.0,0
1,1368.63,1580.03,1,24.566,0.016,67.7,0.022,0.028,0.0,0,23.165,0.015,74.1,0.014,0.022,0.0,0
1,3378.2,1164.61,1,24.48,0.016,69.9,0.033,0.029,0.0,0,23.236,0.015,72.4,0.008,0.023,0.0,0
1,1534.87,376.57,1,24.766,0.017,63.0,-0.014,0.041,0.0,0,23.227,0.021,52.4,0.001,0.101,0.0,0
1,2303.29,1878.48,1,24.557,0.016,67.9,-0.002,0.012,0.0,0,23.204,0.015,72.6,0.003,0.055,0.0,0
1,1085.56,1584.47,1,24.547,0.016,66.6,0.016,0.075,0.001,0,23.243,0.016,69.9,0.029,0.021,0.0,0
1,1412.59,860.64,1,24.515,0.016,68.3,0.011,0.028,0.0,0,23.315,0.016,69.5,0.002,0.033,0.0,0
1,1306.31,1903.03,1,24.611,0.017,65.7,-0.012,0.068,0.0,0,23.198,0.015,72.9,-0.043,0.028,0.0,0
1,3233.31,756.82,1,24.642,0.016,66.4,0.027,0.058,0.0,0,23.265,0.015,72.4,0.03,0.038,0.0,0
1,1744.6,1255.47,1,24.566,0.016,68.0,0.006,0.051,0.001,0,23.263,0.015,71.7,-0.002,0.042,0.001,0
1,3470.96,907.02,1,24.61,0.016,67.5,0.006,0.033,0.0,0,23.273,0.015,71.6,0.029,0.043,0.001,0
1,1392.76,1255.89,1,24.578,0.017,65.8,0.036,-0.011,0.0,0,23.269,0.015,70.1,0.051,0.038,0.0,0
1,966.03,1607.79,1,24.541,0.016,67.4,0.037,-0.009,0.001,0,23.273,0.016,69.7,0.044,0.031,0.001,0
1,3094.51,286.98,1,24.651,0.016,66.8,0.001,0.058,0.0,0,23.326,0.015,71.1,0.023,-0.01,0.0,0
1,1210.52,2000.62,1,24.559,0.023,47.2,0.002,0.071,0.001,0,23.273,0.022,48.6,0.03,0.13,0.017,0
1,1037.45,1311.11,1,24.586,0.017,64.7,0.012,0.057,0.004,0,23.303,0.016,68.6,0.005,0.008,0.008,0
1,1551.04,1371.08,1,24.644,0.017,62.1,0.046,0.043,0.027,0,23.272,0.016,68.4,0.065,-0.011,0.027,0
1,1809.46,1529.68,1,24.581,0.017,65.4,-0.004,0.018,0.003,0,23.301,0.016,67.6,0.028,0.05,0.001,0
1,1955.03,1863.07,1,24.658,0.017,63.1,0.022,0.038,0.019,0,23.254,0.015,70.5,-0.003,0.002,0.013,0
1,1476.57,173.81,1,24.658,0.016,66.7,-0.019,0.194,0.004,0,23.361,0.015,70.2,-0.002,0.139,0.007,0
1,2029.64,1861.34,1,24.497,0.017,64.8,0.016,0.085,0.013,0,23.36,0.017,65.0,0.002,0.077,0.014,0
1,1477.48,181.38,1,24.66,0.016,66.7,-0.012,0.065,0.004,0,23.348,0.015,70.8,-0.009,0.099,0.007,0
1,1584.55,1863.8,1,24.544,0.016,66.2,0.008,-0.064,0.002,0,23.363,0.016,66.1,0.012,0.078,0.003,0
1,1690.83,1809.91,1,24.666,0.017,62.6,0.002,0.087,0.0,0,23.363,0.023,47.1,0.026,-0.081,0.0,0
1,287.48,1075.62,1,24.711,0.017,63.5,-0.005,0.056,0.001,0,23.318,0.016,69.5,0.016,0.012,0.001,0
1,2472.54,117.2,1,24.711,0.017,64.6,-0.018,0.002,0.0,0,23.391,0.016,68.5,-0.016,0.084,0.0,0
1,2120.48,1596.02,1,24.621,0.017,64.8,0.013,-0.017,0.001,0,23.343,0.016,67.6,-0.005,0.04,0.001,0
1,287.34,1594.49,1,24.674,0.017,62.3,-0.004,-0.015,0.0,0,23.333,0.016,66.2,0.022,0.028,0.0,0
1,526.35,1568.39,1,24.632,0.024,44.6,0.075,-0.012,0.008,0,23.383,0.017,65.0,0.018,0.033,0.001,0
1,2604.65,1277.66,1,24.601,0.017,64.5,0.006,0.041,0.0,0,23.408,0.017,65.1,0.007,0.039,0.001,0
1,1832.83,1261.83,1,24.651,0.017,64.2,0.018,0.021,0.001,0,23.374,0.016,66.9,0.007,0.068,0.001,0
1,1140.21,773.62,1,24.695,0.018,60.9,-0.008,0.062,0.001,0,23.391,0.017,63.4,-0.007,0.055,0.001,0
1,1361.14,1623.71,1,24.658,0.018,61.3,-0.006,0.058,0.001,0,23.368,0.017,64.9,0.004,0.03,0.001,0
1,1099.79,1089.53,1,24.648,0.017,63.3,0.033,0.02,0.0,0,23.426,0.017,64.8,0.019,0.029,0.0,0
1,2351.1,1373.85,1,24.689,0.017,62.5,0.013,0.053,0.018,0,23.402,0.016,66.2,-0.008,0.032,0.02,0
1,860.73,1413.07,1,24.688,0.017,62.3,0.036,-0.033,0.0,0,23.403,0.017,65.5,-0.012,0.04,0.0,0
1,3003.85,1970.0,1,25.731,0.03,36.8,0.024,0.182,0.001,0,23.084,0.014,77.8,-0.004,0.066,0.001,0
1,1853.76,1271.27,1,24.722,0.018,61.7,-0.002,0.063,0.007,0,23.405,0.017,65.5,0.005,0.017,0.0,0
1,1362.01,1603.52,1,24.72,0.018,61.0,-0.001,0.073,0.0,0,23.401,0.017,65.0,0.02,0.017,0.0,0
1,1318.27,1011.9,1,24.721,0.017,62.3,-0.001,0.05,0.0,0,23.43,0.017,65.7,0.018,0.022,0.0,0
1,1698.83,2043.71,1,24.798,0.027,40.0,0.047,0.532,0.085,0,23.336,0.023,46.5,-0.013,0.463,0.004,0
1,2601.57,1497.87,1,24.605,0.017,63.1,0.009,0.021,0.001,0,23.478,0.018,61.3,0.042,0.014,0.002,0
1,2032.8,2036.43,1,24.344,0.022,49.0,-0.001,0.038,0.003,0,23.649,0.028,38.6,0.018,0.084,0.005,0
1,1253.05,1054.62,1,24.81,0.018,59.4,0.017,0.203,0.002,0,23.477,0.024,45.1,0.028,0.205,0.002,0
1,1620.26,1354.62,1,24.726,0.018,59.3,0.007,0.046,0.006,0,23.427,0.017,62.3,0.045,-0.008,0.02,0
1,3989.62,538.17,1,24.405,0.016,68.0,0.005,0.106,0.001,0,23.714,0.019,55.8,0.019,0.036,0.002,0
1,2282.4,1320.61,1,24.709,0.018,61.1,0.052,0.012,0.0,0,23.439,0.017,63.2,0.049,0.076,0.0,0
1,584.24,1653.59,1,24.778,0.019,55.9,0.024,0.052,0.001,0,23.405,0.018,61.5,0.02,0.022,0.002,0
1,2875.56,1185.36,1,24.779,0.018,59.9,0.025,0.111,0.001,0,23.439,0.017,65.0,0.006,-0.016,0.002,0
1,3840.45,1042.81,1,24.69,0.017,62.2,-0.003,0.026,0.003,0,23.497,0.018,61.3,0.028,0.085,0.033,0
1,193.91,663.84,1,24.781,0.018,61.0,0.002,0.045,0.001,0,23.48,0.017,64.3,-0.014,0.05,0.0,0
1,2014.2,1746.56,1,24.693,0.018,59.7,0.002,0.0,0.073,0,23.467,0.018,61.2,-0.006,0.014,0.081,0
1,1099.38,1996.47,1,24.804,0.026,41.1,0.012,0.117,0.001,0,23.4,0.024,44.9,0.005,0.105,0.001,0
1,2457.76,935.76,1,24.726,0.018,61.7,0.004,0.035,0.005,0,23.516,0.017,62.4,0.017,0.058,0.008,0
1,2700.28,1259.37,1,24.689,0.018,61.0,0.028,0.06,0.0,0,23.525,0.018,60.1,0.034,0.011,0.001,0
