extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,err_v,err_i
0,1,776.59,897.56,26.5,24.708,5.2,3.7,-0.106,-0.099,0.209,0.295
0,1,804.81,813.37,99.999,99.999,6.4,0.0,-0.296,0.0,0.17,0.0
0,1,999.8699999999999,752.3050000000001,26.562,24.775,4.6,4.2,-0.472,-0.297,0.236,0.261
0,1,963.6500000000001,754.775,99.999,99.999,4.7,0.0,-0.254,0.0,0.229,0.0
0,1,996.115,752.835,99.999,99.999,4.9,0.0,-0.286,0.0,0.22,0.0
0,1,988.4300000000001,773.83,99.999,99.999,5.5,0.0,-0.377,0.0,0.199,0.0
0,1,1017.855,720.695,26.692,24.716,3.8,4.6,-0.011,-0.149,0.284,0.238
0,1,974.5899999999999,775.035,26.575,24.965,4.9,3.7,-0.367,-0.348,0.223,0.29
0,1,953.47,783.345,99.999,99.999,0.0,6.3,0.0,-0.436,0.0,0.173
0,1,752.97,896.91,26.502,24.822,4.3,3.7,0.106,-0.246,0.255,0.291
0,1,948.12,928.47,99.999,99.999,5.8,0.0,-0.409,0.0,0.187,0.0
0,1,997.4100000000001,755.3199999999999,99.999,99.999,0.0,4.9,0.0,-0.435,0.0,0.223
0,1,1001.3800000000001,776.675,99.999,99.999,4.8,0.0,-0.189,0.0,0.225,0.0
0,1,956.825,730.245,99.999,99.999,5.0,0.0,-0.215,0.0,0.219,0.0
0,1,1040.69,755.515,99.999,99.999,5.7,0.0,-0.258,0.0,0.189,0.0
0,1,999.915,749.765,99.999,99.999,4.9,0.0,-0.322,0.0,0.221,0.0
0,1,979.9949999999999,739.55,26.775,24.731,3.8,4.2,-0.02,-0.206,0.283,0.256
0,1,1000.135,762.615,99.999,99.999,5.5,0.0,-0.221,0.0,0.196,0.0
0,1,784.245,876.39,99.999,99.999,4.9,0.0,0.264,0.0,0.223,0.0
0,1,981.3899999999999,772.74,26.799,24.744,3.9,3.9,-0.442,-0.441,0.281,0.28
0,1,965.1300000000001,759.425,99.999,99.999,4.5,0.0,-0.374,0.0,0.243,0.0
0,1,996.2049999999999,754.09,99.999,99.999,4.9,0.0,0.01,0.0,0.223,0.0
0,1,958.77,759.83,99.999,99.999,5.0,0.0,-0.338,0.0,0.215,0.0
0,1,906.8050000000001,804.905,99.999,99.999,5.0,0.0,-0.03,0.0,0.219,0.0
0,1,1003.2,778.3,26.893,24.726,4.0,3.9,-0.262,-0.31,0.269,0.278
0,1,957.02,733.47,99.999,99.999,5.0,0.0,-0.192,0.0,0.218,0.0
0,1,797.72,857.185,99.999,99.999,4.4,0.0,0.088,0.0,0.247,0.0
0,1,879.9,824.36,99.999,99.999,4.6,0.0,0.023,0.0,0.237,0.0
0,1,987.5999999999999,735.905,99.999,99.999,0.0,6.1,0.0,-0.268,0.0,0.179
0,1,1000.55,766.325,99.999,99.999,0.0,4.5,0.0,-0.394,0.0,0.242
1,1,366.75,861.8199999999999,21.386,21.073,115.2,68.4,-0.02,-0.024,0.009,0.016
1,1,392.49,763.69,22.271,20.972,84.7,71.1,-0.027,-0.021,0.013,0.015
1,1,693.63,733.53,22.831,21.528,62.8,53.2,0.014,-0.015,0.017,0.02
1,1,323.37,975.1600000000001,23.359,21.623,51.0,51.0,0.05,-0.018,0.021,0.021
1,1,385.3,798.05,23.282,21.812,50.8,45.6,0.043,0.013,0.021,0.024
1,1,52.76999999999998,724.66,99.999,99.999,17.8,0.0,0.375,0.0,0.061,0.0
1,1,221.32000000000005,919.7,99.999,99.999,0.0,29.5,0.0,0.24,0.0,0.037
1,1,141.32000000000005,1337.3899999999999,23.311,22.142,47.0,37.8,-0.031,-0.091,0.023,0.029
1,1,434.85,1048.55,23.484,22.14,44.7,38.2,0.037,-0.041,0.024,0.028
1,1,433.18,812.79,22.803,22.569,55.1,29.3,-0.008,0.012,0.02,0.037
1,1,479.32,911.51,23.546,22.276,42.9,35.4,0.005,-0.033,0.025,0.031
1,1,333.97,1295.28,23.281,23.02,41.9,9.2,-0.003,-0.112,0.026,0.118
1,1,338.97,916.27,23.61,22.305,41.1,34.4,0.016,-0.005,0.026,0.032
1,1,138.51,1149.41,24.134,22.539,32.5,30.1,-0.007,-0.039,0.033,0.036
1,1,447.76,706.91,99.999,99.999,0.0,21.9,0.0,-0.06,0.0,0.05
1,1,504.48,733.22,24.249,22.628,29.9,29.0,0.03,-0.032,0.036,0.037
1,1,48.440000000000055,1218.71,24.686,22.428,24.9,32.2,-0.023,-0.033,0.044,0.034
1,1,305.78,1308.1,24.025,22.904,31.2,22.7,-0.022,-0.065,0.035,0.048
1,1,361.58,893.06,99.999,99.999,27.7,0.0,0.01,0.0,0.039,0.0
1,1,166.01,1144.57,24.806,22.186,10.2,12.0,-0.282,-0.356,0.107,0.091
1,1,453.1,886.09,23.594,23.145,36.4,21.3,0.045,-0.048,0.03,0.051
1,1,88.13999999999999,734.38,23.169,23.37,41.1,17.8,0.038,0.006,0.026,0.061
1,1,340.03,802.17,23.479,23.259,37.5,19.6,-0.011,-0.031,0.029,0.055
1,1,694.87,767.9,24.076,22.947,28.9,23.5,-0.068,0.02,0.038,0.046
1,1,337.23,841.37,23.921,23.196,31.1,20.3,0.022,-0.097,0.035,0.054
1,1,541.2,999.3,23.987,23.179,29.3,20.1,-0.005,-0.037,0.037,0.054
1,1,613.15,815.19,24.37,23.08,26.6,18.4,-0.037,-0.056,0.041,0.059
1,1,557.58,809.3199999999999,24.505,23.016,24.0,22.4,-0.009,-0.002,0.045,0.048
1,1,192.64999999999998,789.88,24.758,22.898,22.5,20.5,-0.038,-0.013,0.048,0.053
1,1,163.07000000000005,1109.92,23.91,23.429,30.7,16.9,-0.017,0.022,0.035,0.064
1,1,326.97,870.89,23.723,23.542,32.6,16.0,-0.014,0.074,0.033,0.068
1,1,406.23,784.28,23.782,23.65,30.8,12.9,0.08,0.003,0.035,0.084
1,1,467.5,1253.27,24.457,23.277,16.3,9.2,-0.212,-0.396,0.067,0.118
1,1,106.47000000000003,780.3,23.703,23.657,32.0,14.7,-0.056,0.059,0.034,0.074
1,1,325.07,779.49,99.999,99.999,20.2,0.0,-0.009,0.0,0.054,0.0
1,1,232.15999999999997,1069.23,25.512,22.6,14.8,30.3,0.065,-0.001,0.073,0.036
1,1,251.08999999999997,770.25,24.566,23.277,23.3,18.5,-0.022,-0.015,0.047,0.059
1,1,147.77999999999997,1318.31,99.999,99.999,20.2,0.0,-0.075,0.0,0.054,0.0
1,1,680.88,1137.97,99.999,99.999,9.5,0.0,0.397,0.0,0.114,0.0
1,1,438.03,707.31,23.951,23.897,26.9,9.9,0.064,-0.152,0.04,0.11
1,1,330.05,842.38,23.747,23.929,30.4,11.9,-0.028,-0.098,0.036,0.092
1,1,150.26999999999998,709.49,25.058,23.111,19.3,21.0,-0.085,-0.033,0.056,0.052
1,1,352.83,803.49,23.8,23.863,29.7,11.7,0.009,-0.093,0.037,0.093
1,1,422.65,781.8199999999999,24.561,23.384,23.1,18.0,-0.026,-0.061,0.047,0.06
1,1,40.66999999999996,1305.47,99.999,99.999,9.9,0.0,0.5,0.0,0.109,0.0
1,1,365.4,865.21,24.458,23.934,12.6,4.9,0.135,-0.2,0.086,0.222
1,1,326.47,831.75,25.179,23.145,17.8,20.7,0.053,0.059,0.061,0.052
1,1,415.0,854.35,24.144,23.75,25.9,14.1,0.029,0.041,0.042,0.077
1,1,695.25,751.56,23.748,23.877,26.1,13.3,-0.052,-0.041,0.042,0.081
1,1,221.63,1141.09,24.101,23.886,26.0,12.8,-0.001,-0.047,0.042,0.085
1,1,490.87,760.64,24.54,23.783,21.6,12.2,0.026,-0.023,0.05,0.089
1,1,248.17000000000002,749.17,24.289,23.921,22.9,10.8,0.078,0.039,0.047,0.101
1,1,677.45,1006.6700000000001,24.842,23.584,19.0,14.9,-0.01,-0.046,0.057,0.073
1,1,647.09,1423.88,24.536,23.698,18.1,12.9,-0.175,-0.234,0.06,0.084
1,1,127.91999999999996,1270.7,23.959,24.015,24.2,11.4,0.03,-0.026,0.045,0.095
1,1,491.59,786.66,25.023,23.519,18.1,16.4,0.032,0.079,0.06,0.066
1,1,337.16,807.39,23.903,24.454,25.1,7.0,0.025,-0.234,0.043,0.155
1,1,27.66999999999996,756.31,24.764,23.652,18.6,14.2,-0.109,-0.043,0.059,0.077
1,1,455.33,866.5,24.888,23.502,8.8,16.7,-0.184,-0.107,0.123,0.065
1,1,316.36,820.9,24.064,24.17,25.3,10.5,0.0,0.085,0.043,0.103
1,1,118.29999999999995,753.7,24.201,24.11,23.8,10.7,-0.08,-0.058,0.046,0.101
1,1,510.57,723.62,24.189,24.134,22.3,11.0,-0.048,-0.104,0.049,0.099
1,1,368.6,1107.56,99.999,99.999,8.1,0.0,0.38,0.0,0.134,0.0
1,1,355.17,775.22,25.056,23.743,16.8,10.6,0.016,-0.099,0.064,0.103
1,1,430.1,1028.68,24.978,23.738,17.8,14.1,0.012,-0.02,0.061,0.077
1,1,469.51,835.54,24.485,24.22,20.7,8.3,-0.014,-0.104,0.052,0.132
1,1,591.61,945.31,24.395,24.075,21.7,11.6,0.051,0.007,0.05,0.094
1,1,405.53,857.55,25.038,23.734,14.6,13.5,-0.085,-0.134,0.074,0.081
1,1,392.36,884.72,24.778,23.921,18.9,12.4,-0.025,0.001,0.058,0.087
1,1,495.2,833.04,24.417,24.098,21.4,11.2,0.012,-0.104,0.051,0.097
1,1,155.05999999999995,1340.47,24.44,24.137,21.2,10.5,-0.022,0.017,0.051,0.104
1,1,144.58000000000004,733.84,25.231,23.685,15.5,14.1,-0.059,-0.106,0.07,0.077
1,1,258.63,857.56,25.257,23.647,11.9,14.7,-0.073,0.02,0.091,0.074
1,1,429.88,861.86,24.299,24.266,22.4,9.5,-0.012,-0.124,0.048,0.114
1,1,217.51,1229.17,24.093,24.28,22.4,9.8,-0.034,0.025,0.049,0.111
1,1,447.83,1031.12,24.901,23.886,17.1,12.6,0.086,0.099,0.063,0.086
1,1,299.53,1076.37,24.511,24.215,20.4,9.6,-0.001,-0.004,0.053,0.114
1,1,416.57,708.88,99.999,99.999,15.1,0.0,-0.099,0.0,0.072,0.0
1,1,76.38999999999999,1075.91,25.167,23.797,15.8,13.3,0.048,-0.119,0.069,0.082
1,1,388.45,735.3199999999999,25.453,23.671,14.2,14.8,0.075,0.033,0.076,0.073
1,1,337.11,825.53,24.308,24.354,20.2,8.5,0.065,-0.118,0.054,0.128
1,1,183.82000000000005,1145.85,99.999,99.999,13.7,0.0,0.134,0.0,0.079,0.0
1,1,480.9,869.5699999999999,25.108,23.919,16.0,10.9,0.087,-0.079,0.068,0.1
1,1,309.99,939.69,25.099,23.96,16.3,9.5,-0.087,-0.125,0.067,0.114
1,1,393.4,752.21,24.847,24.049,17.6,11.2,0.051,0.105,0.062,0.097
1,1,665.76,860.12,24.849,24.053,17.2,11.4,0.072,0.021,0.063,0.095
1,1,440.58,727.87,25.254,23.818,12.2,13.1,-0.042,0.062,0.089,0.083
1,1,351.92,828.29,25.171,23.91,14.8,12.1,0.047,0.008,0.073,0.09
1,1,636.08,849.35,24.913,24.075,17.2,10.2,0.034,0.092,0.063,0.106
1,1,452.54,1189.99,25.257,23.874,15.0,12.7,0.007,0.05,0.073,0.086
1,1,376.51,1153.23,25.033,24.002,16.5,11.7,-0.046,0.023,0.066,0.093
1,1,610.41,1071.48,25.266,23.859,13.4,13.1,-0.011,-0.049,0.081,0.083
1,1,371.43,849.87,25.168,23.963,15.4,11.3,0.005,0.019,0.071,0.096
1,1,449.51,1043.06,25.393,23.947,13.9,6.4,0.017,-0.204,0.078,0.169
1,1,146.14999999999998,828.9300000000001,25.225,23.933,14.8,11.8,0.001,0.042,0.073,0.092
1,1,489.27,710.76,25.368,23.885,14.3,12.0,0.069,0.112,0.076,0.09
1,1,297.9,962.75,25.493,23.855,13.4,12.9,0.038,0.021,0.081,0.084
1,1,391.98,740.66,25.225,24.03,14.4,9.4,0.065,-0.093,0.075,0.116
1,1,417.85,739.61,24.583,24.224,16.3,10.1,-0.079,0.009,0.067,0.108
1,1,439.21,792.6800000000001,24.386,24.45,19.6,8.5,0.051,0.065,0.055,0.128
1,1,402.39,795.26,25.282,23.983,14.7,11.9,0.018,0.04,0.074,0.091
1,1,413.38,784.28,99.999,99.999,13.0,0.0,0.083,0.0,0.084,0.0
1,1,531.81,714.77,25.368,23.853,8.1,13.2,-0.218,-0.019,0.134,0.082
1,1,496.28,1302.98,25.908,23.276,8.4,8.5,-0.28,-0.403,0.13,0.128
1,1,578.9,725.76,25.307,23.91,10.7,12.2,-0.157,-0.082,0.101,0.089
1,1,408.07,793.31,24.541,24.604,18.5,6.6,0.09,-0.099,0.059,0.165
1,1,490.87,887.37,25.351,23.954,14.3,12.3,-0.015,-0.032,0.076,0.088
1,1,119.61000000000001,1419.45,25.927,23.396,10.0,10.3,-0.16,-0.278,0.109,0.106
1,1,555.41,813.24,25.02,24.166,16.2,10.6,-0.003,-0.003,0.067,0.102
1,1,237.19000000000005,1251.49,99.999,99.999,0.0,4.2,0.0,-0.301,0.0,0.258
1,1,260.95,1375.6,25.208,24.09,14.6,10.4,-0.013,-0.067,0.074,0.104
1,1,538.91,767.2,25.375,24.029,13.7,11.6,0.003,0.026,0.079,0.094
1,1,347.25,706.22,25.295,24.175,13.8,8.5,-0.037,-0.045,0.079,0.128
1,1,510.40999999999997,872.71,25.154,24.205,15.1,10.1,-0.005,0.032,0.072,0.107
1,1,479.89,735.64,24.754,24.351,16.6,9.0,-0.025,0.107,0.065,0.12
1,1,330.87,822.73,25.245,24.167,12.8,10.1,-0.102,-0.04,0.085,0.107
