extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,779.135,988.27,24.124,22.773,31.1,38.4,0.004,-0.008,0.093,0.064,0.035,0.028
0,1,1010.6800000000001,848.795,23.706,23.308,42.9,28.7,0.033,0.012,0.054,0.015,0.025,0.038
0,1,829.345,987.27,23.863,23.015,38.8,32.5,0.017,0.034,0.023,0.064,0.028,0.033
0,1,1036.24,899.17,24.043,22.851,32.2,37.9,0.107,0.02,0.068,0.025,0.034,0.029
0,1,970.3199999999999,905.05,24.103,22.819,31.9,39.1,-0.012,0.028,0.006,0.03,0.034,0.028
0,1,1065.635,829.565,24.02,22.848,35.4,36.0,-0.003,0.007,0.037,0.08,0.031,0.03
0,1,717.05,978.385,24.141,22.793,29.1,33.4,-0.052,-0.082,0.036,0.219,0.037,0.033
0,1,714.465,718.805,24.25,22.835,22.4,34.6,-0.048,-0.042,0.05,-0.029,0.048,0.031
0,1,1009.5699999999999,1066.085,24.108,22.831,30.0,36.3,0.066,-0.015,0.08,0.012,0.036,0.03
0,1,831.96,882.78,23.73,23.33,37.7,25.5,-0.039,-0.039,0.133,0.211,0.029,0.043
0,1,701.695,786.89,23.424,23.451,23.1,22.0,-0.264,-0.081,0.215,0.082,0.047,0.049
0,1,1006.5799999999999,769.55,24.101,22.849,34.1,38.6,-0.008,0.003,0.05,0.022,0.032,0.028
0,1,828.0,1013.7550000000001,24.062,22.891,32.0,34.7,-0.045,0.02,0.031,0.09,0.034,0.031
0,1,972.1600000000001,915.71,24.067,22.946,26.9,35.2,-0.135,-0.067,0.127,0.152,0.04,0.031
0,1,907.5699999999999,932.98,24.114,22.881,32.5,37.7,-0.034,0.019,0.14,-0.011,0.033,0.029
0,1,749.44,976.0050000000001,24.279,22.844,25.5,37.9,0.024,0.034,0.104,-0.02,0.043,0.029
0,1,939.45,873.375,23.984,23.006,27.5,28.1,-0.003,0.03,0.111,0.012,0.04,0.039
0,1,855.19,858.8050000000001,24.138,22.892,30.4,37.8,-0.034,-0.064,0.211,0.128,0.036,0.029
0,1,862.135,1035.335,23.929,23.08,35.1,32.0,0.014,0.014,0.022,0.01,0.031,0.034
0,1,1037.68,750.1,24.168,22.883,30.3,37.0,0.05,-0.023,0.117,0.056,0.036,0.029
0,1,882.385,700.735,99.999,99.999,11.6,0.0,0.315,0.0,-0.074,0.0,0.093,0.0
0,1,874.71,935.115,24.15,22.961,22.9,33.4,-0.113,-0.063,0.173,0.077,0.047,0.033
0,1,959.595,881.39,24.019,23.016,34.6,34.6,0.029,-0.013,0.077,0.036,0.031,0.031
0,1,1027.395,857.005,24.208,22.888,30.3,37.4,0.003,0.012,0.07,0.06,0.036,0.029
0,1,705.51,820.275,24.25,22.871,26.8,33.7,-0.091,-0.041,0.246,0.169,0.041,0.032
0,1,888.565,966.0999999999999,23.796,23.47,41.1,25.5,-0.002,-0.02,0.026,0.102,0.026,0.043
0,1,731.84,1012.24,24.166,22.907,30.7,35.1,-0.069,0.046,0.067,0.119,0.035,0.031
0,1,1040.055,973.7750000000001,24.046,23.018,34.1,33.4,0.034,-0.033,0.13,-0.022,0.032,0.033
0,1,710.59,1013.925,24.234,22.914,27.4,35.7,-0.015,0.017,0.036,0.069,0.04,0.03
0,1,740.525,841.22,24.289,22.86,29.2,38.1,-0.094,-0.027,0.119,0.146,0.037,0.028
0,1,922.51,1004.3899999999999,24.243,22.912,26.9,35.4,-0.115,-0.067,0.088,0.049,0.04,0.031
0,1,929.61,987.24,24.198,22.903,31.5,36.9,-0.008,-0.033,0.061,0.068,0.034,0.029
0,1,832.245,1060.695,24.146,22.949,30.5,34.1,-0.088,-0.069,0.084,0.158,0.036,0.032
0,1,711.335,716.975,24.433,22.881,15.5,29.8,-0.162,-0.037,0.069,0.08,0.07,0.036
