extension,x,y,mag_v,mag_i,type,snr_v,snr_i,flag_v,flag_i,crowd_v,crowd_i,sharp_v,sharp_i,err_v,err_i
1,2466.67,603.03,24.126,23.242,1,78.7,68.3,0,0,0.002,0.006,0.013,-0.009,0.0139999999999999,0.016
1,1152.85,517.02,24.247,23.164,1,71.9,68.5,0,0,0.026,0.042,0.043,-0.002,0.015,0.016
1,3799.01,916.58,24.138,23.251,1,77.2,66.9,0,0,0.002,0.005,0.02,0.003,0.0139999999999999,0.016
1,2222.74,1136.27,24.331,23.172,1,71.3,69.1,0,0,0.0139999999999999,0.016,-0.015,-0.001,0.015,0.016
1,3524.44,495.1,24.335,23.184,1,70.3,65.3,0,0,0.0,0.004,-0.032,0.002,0.015,0.017
1,3489.71,461.92,24.295,23.205,1,73.3,69.4,0,0,0.0,0.001,0.018,0.013,0.015,0.016
1,2440.79,1633.62,24.315,23.186,1,72.0,69.3,0,0,0.0069999999999999,0.003,0.006,0.011,0.015,0.016
1,1795.81,919.92,24.305,23.214,1,72.9,69.2,0,0,0.004,0.005,0.0409999999999999,0.018,0.015,0.016
1,2385.69,793.9,24.323,23.218000000000004,1,72.4,68.9,0,0,0.006,0.02,0.0279999999999999,0.009,0.015,0.016
1,2107.39,465.09,24.369,23.238000000000003,1,71.1,68.4,0,0,0.0,0.0,-0.013,0.001,0.015,0.016
1,512.02,170.69,25.276,22.903,1,46.9,81.8,0,0,0.026,0.0279999999999999,0.025,0.002,0.023,0.013
1,2223.27,1972.58,24.336,23.277,1,70.3,65.4,0,0,0.03,0.036,-0.006,0.0069999999999999,0.015,0.017
1,579.61,1483.08,24.345,23.268,1,68.2,64.0,0,0,0.0,0.001,0.002,0.008,0.016,0.017
1,362.54,1963.81,24.118,23.449,1,74.6,58.2,0,0,0.003,0.005,0.008,0.039,0.015,0.019
1,3151.4,6.97,24.422,23.261,1,68.4,66.6,0,0,0.013,0.026,0.015,0.027,0.016,0.016
1,681.17,1073.88,25.591,22.909,1,38.9,82.0,0,0,0.003,0.012,0.07,-0.001,0.0279999999999999,0.013
1,1192.29,1280.24,24.412,23.306,1,67.8,64.3,0,0,0.0139999999999999,0.016,0.026,0.0289999999999999,0.016,0.017
1,2004.01,1613.05,24.442,23.309,1,66.3,45.3,0,0,0.0069999999999999,0.0,0.037,0.039,0.016,0.024
1,2832.1,218.86,24.447,23.343000000000004,1,66.6,63.6,0,0,0.001,0.002,0.0069999999999999,0.021,0.016,0.017
1,2634.3,1655.95,24.472,23.329,1,61.9,61.1,0,0,0.0,0.0,0.0289999999999999,0.011,0.018,0.018
1,2284.8,799.07,26.748,23.003,1,18.4,76.7,0,0,0.021,0.024,0.055,0.009,0.059,0.0139999999999999
1,868.81,560.64,24.433000000000003,23.445,1,67.2,60.3,0,0,0.001,0.004,-0.001,0.032,0.016,0.018
1,2838.87,760.13,24.517,23.391,1,64.4,62.1,0,0,0.01,0.005,0.026,-0.005,0.017,0.017
1,1568.35,629.02,24.513,23.395,1,64.6,61.6,0,0,0.016,0.019,0.013,0.04,0.017,0.018
1,2901.97,71.2,24.542,23.396,1,60.1,58.4,0,0,0.0069999999999999,0.01,0.016,-0.001,0.018,0.019
1,1099.93,930.53,24.502,23.43,1,64.7,60.2,0,0,0.009,0.006,0.022,0.016,0.017,0.018
1,3278.92,788.51,24.536,23.457,1,63.7,59.5,0,0,0.002,0.005,-0.021,-0.004,0.017,0.018
1,1951.37,764.13,24.537,23.45,1,63.3,59.8,0,0,0.0,0.0,0.032,0.027,0.017,0.018
1,2852.45,1171.88,25.561,23.132,1,39.0,71.8,0,0,0.055,0.033,0.033,0.009,0.0279999999999999,0.015
1,2793.55,1228.65,24.66,23.487,1,57.3,53.5,0,0,0.01,0.017,-0.024,-0.001,0.019,0.02
1,780.1,1389.67,24.55,23.538,1,61.4,56.1,0,0,0.002,0.002,0.0289999999999999,-0.003,0.018,0.019
1,2931.35,933.59,24.625,23.512,1,60.5,57.3,0,0,0.002,0.0,-0.016,0.043,0.018,0.019
1,353.82,1067.85,26.511,23.164,1,21.5,70.6,0,0,0.01,0.001,0.015,-0.0069999999999999,0.05,0.015
1,3004.62,1388.09,24.636,23.548,1,59.5,55.9,0,0,0.013,0.019,-0.002,0.0409999999999999,0.018,0.019
1,4067.84,848.58,24.612,23.561,1,59.8,55.2,0,0,0.008,0.009,-0.004,0.009,0.018,0.02
1,481.65,1492.47,24.632,23.554,1,58.1,53.9,0,0,0.006,0.0139999999999999,0.002,0.027,0.019,0.02
