extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,968.8199999999999,1051.34,99.999,99.999,51.8,0.0,0.001,0.0,0.082,0.0,0.021,0.0
0,1,1022.415,825.705,99.999,99.999,52.8,0.0,0.006,0.0,0.077,0.0,0.021,0.0
0,1,914.155,727.675,24.706,23.692,51.0,47.4,-0.048,-0.05,0.09,0.008,0.021,0.023
0,1,898.645,959.4449999999999,24.711,23.716,48.1,39.2,0.009,-0.04,0.078,0.056,0.023,0.028
0,1,1068.54,912.6,24.745,23.74,44.5,29.3,-0.058,-0.091,0.076,0.038,0.024,0.037
0,1,1038.715,1014.75,24.755,23.749,47.1,45.4,0.067,-0.01,0.08,0.084,0.023,0.024
0,1,746.8199999999999,948.4300000000001,99.999,99.999,52.8,0.0,-0.001,0.0,0.061,0.0,0.021,0.0
0,1,993.03,909.155,24.741,23.923,31.1,24.8,-0.004,0.072,0.117,-0.004,0.035,0.044
0,1,849.54,962.0550000000001,24.814,23.773,50.3,45.8,-0.049,-0.01,0.051,0.014,0.022,0.024
0,1,992.95,958.1949999999999,24.844,23.817,43.3,34.9,-0.037,-0.017,0.04,0.036,0.025,0.031
0,1,784.825,726.38,24.741,23.893,49.8,32.0,0.04,-0.069,0.046,0.046,0.022,0.034
0,1,1020.1600000000001,808.115,24.832,23.825,49.1,34.7,-0.022,0.007,0.1,0.013,0.022,0.031
0,1,823.175,971.395,24.9,23.877,42.6,38.2,-0.003,-0.002,0.081,0.012,0.025,0.028
0,1,789.09,843.0699999999999,24.853,23.893,48.6,41.4,-0.009,0.002,0.012,0.028,0.022,0.026
0,1,1051.965,1025.63,24.84,23.929,47.2,29.3,-0.034,-0.033,0.075,0.133,0.023,0.037
0,1,831.815,1035.325,99.999,99.999,45.9,0.0,-0.046,0.0,0.065,0.0,0.024,0.0
0,1,980.24,972.1399999999999,24.901,23.871,47.7,37.2,0.029,0.012,0.017,0.007,0.023,0.029
0,1,829.66,920.795,24.969,23.827,46.7,30.7,0.02,0.026,0.084,0.049,0.023,0.035
0,1,960.1800000000001,854.0,24.932,23.909,42.1,37.6,0.027,0.019,0.049,0.032,0.026,0.029
0,1,941.835,714.04,24.89,24.022,48.8,35.5,0.023,0.043,0.103,0.021,0.022,0.031
0,1,722.205,896.295,99.999,99.999,45.8,0.0,0.072,0.0,0.146,0.0,0.024,0.0
0,1,809.785,951.5450000000001,24.96,24.012,45.3,28.3,-0.0,-0.019,0.064,0.046,0.024,0.038
0,1,811.74,894.4,99.999,99.999,41.5,0.0,0.01,0.0,0.069,0.0,0.026,0.0
0,1,807.84,726.035,24.955,23.925,46.6,34.7,0.029,0.031,0.007,0.053,0.023,0.031
0,1,834.065,989.48,24.979,23.944,44.3,41.3,-0.013,-0.058,0.132,0.052,0.025,0.026
0,1,805.875,851.115,24.917,24.008,48.1,25.3,0.005,-0.013,0.029,0.053,0.023,0.043
0,1,955.0899999999999,960.935,25.035,23.964,29.7,30.1,-0.136,-0.132,0.159,0.131,0.037,0.036
0,1,891.105,1070.2350000000001,25.055,23.941,42.6,39.8,0.032,0.021,0.126,-0.013,0.025,0.027
0,1,904.15,1069.375,25.037,23.973,41.6,40.3,0.046,0.039,0.026,0.001,0.026,0.027
0,1,707.925,800.255,25.041,24.03,27.7,33.3,-0.032,0.004,0.013,0.046,0.039,0.033
0,1,860.395,879.7,99.999,99.999,44.7,0.0,0.005,0.0,0.087,0.0,0.024,0.0
0,1,1001.45,736.215,99.999,99.999,45.8,0.0,0.028,0.0,0.057,0.0,0.024,0.0
0,1,752.95,926.475,24.984,24.098,44.1,34.3,0.013,0.029,0.032,0.025,0.025,0.032
0,1,980.04,809.815,99.999,99.999,43.0,0.0,-0.04,0.0,0.152,0.0,0.025,0.0
0,1,1018.7649999999999,1036.6399999999999,25.012,24.084,42.3,31.6,0.001,0.025,0.112,0.077,0.026,0.034
0,1,1057.415,1002.55,25.028,24.059,43.2,16.9,-0.003,0.014,0.069,0.052,0.025,0.064
0,1,837.735,1031.06,25.063,24.206,34.9,23.7,-0.032,0.026,0.091,0.081,0.031,0.046
0,1,932.06,839.88,25.089,24.091,42.0,34.0,0.026,0.046,0.046,0.061,0.026,0.032
0,1,980.4949999999999,839.145,25.108,24.103,41.8,19.7,-0.008,-0.039,0.125,0.021,0.026,0.055
0,1,831.66,758.625,25.132,24.107,38.3,30.7,0.056,0.008,0.042,0.05,0.028,0.035
0,1,854.915,872.705,99.999,99.999,40.9,0.0,-0.009,0.0,0.036,0.0,0.027,0.0
